Ticker,Nome Asset,Prezzo ($),RSI 14,Stato RSI,SMA 40 ($),Trend SMA 40,SMA 200 ($),Trend SMA 200,Posizione Medie
XEON.DE,Xtrackers II EUR Overnight Rate Swap UCITS ETF,150.04,90.17,Ipercomprato (RSI ≥ 70) 🔴,149.56,In Crescita 🟢,147.88,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
SPY4.DE,SPDR S&P 400 US Mid Cap UCITS ETF,117.6,74.75,Ipercomprato (RSI ≥ 70) 🔴,102.38,In Crescita 🟢,93.33,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
BTAI,Bioxcel Therapeutics Inc,0.16,21.34,Ipervenduto (RSI ≤ 30) 🟢,0.99,In Declino 🔴,2.36,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
AIRR,First Trust Rba American Ind,108.22,29.84,Ipervenduto (RSI ≤ 30) 🟢,120.71,In Declino 🔴,104.98,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
VEI.OL,Veidekke ASA,209.0,75.53,Ipercomprato (RSI ≥ 70) 🔴,190.22,In Crescita 🟢,171.64,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
TECH.OL,Techstep ASA,1.6,18.2,Ipervenduto (RSI ≤ 30) 🟢,5.38,In Declino 🔴,10.01,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
SRP.PA,SRP Groupe SA,0.88,72.25,Ipercomprato (RSI ≥ 70) 🔴,0.78,In Crescita 🟢,0.71,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
ALINN.PA,Innelec Multimedia SA,2.5,29.77,Ipervenduto (RSI ≤ 30) 🟢,2.81,In Declino 🔴,3.0,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
6818.HK,China Everbright Bank Company Limited,2.84,29.77,Ipervenduto (RSI ≤ 30) 🟢,3.1,In Declino 🔴,3.22,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
1157.HK,Zoomlion Heavy Industry H,6.09,27.33,Ipervenduto (RSI ≤ 30) 🟢,7.39,In Declino 🔴,7.2,In Declino 🔴,SMA 40 SOPRA SMA 200 🟢
1308.HK,SITC International Holdings,47.74,77.11,Ipercomprato (RSI ≥ 70) 🔴,38.34,In Crescita 🟢,30.27,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
FSKRS.HE,Fiskars Oyj Abp,14.12,74.91,Ipercomprato (RSI ≥ 70) 🔴,13.36,In Crescita 🟢,13.6,In Crescita 🟢,SMA 40 SOTTO SMA 200 🔴
BTMCQ,Bitcoin Depot Inc,0.02,26.08,Ipervenduto (RSI ≤ 30) 🟢,1.15,In Declino 🔴,9.38,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
CEMK.DE,iShares III PLC - iShares EUR Govt Bond 0-1yr UCITS ETF,5.1,72.18,Ipercomprato (RSI ≥ 70) 🔴,5.08,In Crescita 🟢,5.05,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
TENX,Tenax Therapeutics Inc,1.84,23.43,Ipervenduto (RSI ≤ 30) 🟢,9.81,In Declino 🔴,9.6,In Declino 🔴,SMA 40 SOPRA SMA 200 🟢
IHT,InnSuites Hospitality Trust,1.28,28.12,Ipervenduto (RSI ≤ 30) 🟢,1.52,In Declino 🔴,1.65,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
OMCC,Old Market Capital Corp,4.5,78.43,Ipercomprato (RSI ≥ 70) 🔴,4.31,In Crescita 🟢,4.89,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
PTIX,Protagenic Therapeutics Inc,1.2,79.81,Ipercomprato (RSI ≥ 70) 🔴,0.51,In Crescita 🟢,2.23,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
ELA,Envela Corp,13.8,18.25,Ipervenduto (RSI ≤ 30) 🟢,19.37,In Declino 🔴,14.0,In Declino 🔴,SMA 40 SOPRA SMA 200 🟢
